472; 41; 
472; 73; 
472; 85; 
472; 107; 
472.5; 5; 
472.5; 61; 
472.5; 84; 
472.5; 109; 
473; 23; 
473; 46; 
473; 49; 
473; 54; 
473; 59; 
473; 66; 
473; 95; 
473; 96; 
473.5; 25; 
473.5; 36; 
473.5; 102; 
474; 14; 
474; 50; 
474; 53; 
474; 67; 
474.5; 8; 
474.5; 30; 
474.5; 34; 
474.5; 112; 
475; 19; 
475; 20; 
475; 28; 
475; 33; 
475; 38; 
475; 71; 
475; 115; 
475.5; 92; 
476; 56; 
476; 94; 
476; 124; 
476.5; 37; 
476.5; 62; 
476.5; 76; 
476.5; 80; 
476.5; 82; 
476.5; 104; 
476.5; 111; 
477; 15; 
477; 68; 
477; 77; 
477; 89; 
477.5; 39; 
477.5; 81; 
477.5; 87; 
477.5; 121; 
478; 3; 
478; 73; 
478.5; 1; 
478.5; 40; 
478.5; 43; 
478.5; 55; 
478.5; 58; 
478.5; 60; 
478.5; 123; 
479; 83; 
479; 93; 
479; 97; 
479.5; 61; 
479.5; 96; 
479.5; 103; 
479.5; 120; 
480; 5; 
480; 13; 
480; 26; 
480.5; 85; 
480.5; 100; 
480.5; 114; 
480.5; 125; 
481; 59; 
481; 64; 
481; 69; 
481; 70; 
481; 95; 
481.5; 2; 
481.5; 47; 
481.5; 54; 
481.5; 72; 
481.5; 79; 
481.5; 101; 
482; 34; 
482; 71; 
482.5; 29; 
482.5; 31; 
482.5; 84; 
482.5; 109; 
483; 22; 
483.5; 104; 
483.5; 112; 
484; 17; 
484; 113; 
484.5; 91; 
485.5; 50; 
485.5; 68; 
486; 43; 
487.5; 98; 
487.5; 108; 
488.5; 19; 
488.5; 80; 
489; 114; 
490.5; 8; 
490.5; 61; 
490.5; 118; 
491.5; 115; 
492.5; 102; 
498; 73; 
506; 16; 
705.5; 63; 
725; 12; 
728.5; 104; 
731.5; 53; 
733; 115; 
737; 79; 
738; 50; 
742; 121; 
746.5; 27; 
747; 117; 
752; 85; 
755; 11; 
756.5; 96; 
759; 54; 
759.5; 37; 
763.5; 46; 
764; 30; 
767; 6; 
767; 60; 
767.5; 97; 
768; 34; 
768.5; 5; 
769.5; 57; 
769.5; 96; 
769.5; 118; 
771.5; 99; 
771.5; 100; 
773.5; 47; 
776; 92; 
776; 112; 
777.5; 40; 
777.5; 59; 
778; 7; 
778; 55; 
778.5; 48; 
778.5; 102; 
780; 30; 
780.5; 52; 
780.5; 119; 
781; 86; 
782.5; 13; 
783; 3; 
783.5; 70; 
783.5; 74; 
783.5; 95; 
784; 77; 
